id,title,price,hood,link,source,amenities,lat,lon,in_search_area,address,bedrooms,bathrooms,postdate,sqft,L_min_dist,closest_L_stop
7429723285,"🎭BEAUTIFUL BRONZEVILLE🎭 2 BED APARTMENT w/ HEAT, BALCONY + MORE",1190.0, (Bronzeville city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-bronzeville-bed/7429723285.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking']",41.808976,-87.62285,False,4714 S Michigan Ave,2,1,2022-01-07 08:14,725ft2,,
7429696823,LEASING/SELLER FINANCING,1100.0, (WORTH/BRIDGEVIEW city of chicago ),https://chicago.craigslist.org/chc/apa/d/worth-leasing-seller-financing/7429696823.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'manufactured', 'w/d in unit', 'carport', 'rent period: monthly']",41.6895,-87.7863,False,7240 W 107th St,2,1,2022-01-07 06:08,,,
7429660798,Near 35th and Western 2bed 1ba $1100,1100.0, (Brighton Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-near-35th-and-western-2bed-1ba/7429660798.html,craigslist,"['air conditioning', 'application fee details: $50', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']",41.828403,-87.68991,False,36th near Rockwell,2,1,2022-01-06 23:06,950ft2,,
7429619357,1.5 Bed & 1 Bath Apt For Rent in West Town,1200.0, (West Town city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-15-bed-bath-apt-for-rent-in/7429619357.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: yearly']",41.907252,-87.689788,False,1432 N Campbell Ave near Apt 2F,2,1,2022-01-06 19:48,900ft2,,
7429617821,🔥30 DAYS RENT FREE!2 Bed /2 Bath attic apartment with LAUNDRY IN UNIT,1400.0, (Little Village city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-30-days-rent-free2-bed-bath/7429617821.html,craigslist,"['application fee details: 30', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking']",41.849,-87.7157,False,,2,2,2022-01-06 19:43,1000ft2,,
7429604589,Sunny large modern  2nd fl Bi-level unit available April 1,2395.0, (Andersonville city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-sunny-large-modern-2nd-fl-bi/7429604589.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'street parking']",41.979231,-87.668656,False,Summerdale near Clark,3,1,2022-01-06 18:59,1700ft2,,
7429546245,Great Bucktown Location! 2bed w/NEW KITCHEN! Central A/C! 2431-1E,1600.0, (Bucktown-Logan Square city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-great-bucktown-location-2bed/7429546245.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'detached garage', 'rent period: yearly']",41.918563,-87.688137,False,2431 W. McLean near Western,2,1,2022-01-06 16:22,,,
7429544912,Great Apartment and Area,1695.0, (North Center/St. Ben's city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-great-apartment-and-area/7429544912.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'detached garage', 'rent period: monthly']",41.956931,-87.680856,True,Warner near Lincoln,2,1,2022-01-06 16:19,1300ft2,,
7429526176,Gorgeous Roscoe Village Victorian w/Front Porch and Lg Landscaped Yard,1850.0, (3121 N Damen Ave 2nd Floor city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-roscoe-village/7429526176.html,craigslist,"['EV charging', 'air conditioning', 'application fee details: $50/Adult Over 18 Apartment Application Fee and $800 Non-Refundable Move-In Fee', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'street parking']",41.938475,-87.678455,False,3121 N Damen Ave near Fletcher,2,1,2022-01-06 15:38,1100ft2,,
7429524661,Gorgeous 2 BDRM Loft HUGE Windows,1995.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-bdrm-loft-huge-windows/7429524661.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'street parking', 'wheelchair accessible']",41.9543,-87.6575,False,,2,1,2022-01-06 15:35,,,
7429521984,Logan Square 2br plus office. High Tech Luxury!,1750.0, (Logan Square city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-logan-square-2br-plus-office/7429521984.html,craigslist,"['air conditioning', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']",41.932422,-87.721066,False,Ridgeway near Diversey,2,1,2022-01-06 15:29,1100ft2,,
7429520731,South facing 2bed 1 bath unit available immediately!!,1700.0, (Irving Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-south-facing-2bed-bath-unit/7429520731.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no parking']",41.948131,-87.726057,False,Waveland Ave,2,1,2022-01-06 15:27,,,
